method,question,expected,correct_found,irrelevant_chunks,latency_ms
Vector,"Does the company help pay for desks, chairs, or monitors when working from home?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,3672.8
Vector,How much does the company reimburse each month for home internet while working remotely?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,9208.0
Vector,"If I prefer working from a coworking space, how many days each month are covered?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,545.8
Vector,How much funding is available each year for professional development courses?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,1024.5
Vector,Is there a reward for earning an expert-level professional certification?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,613.2
Vector,"If I resign within six months after company-funded training, how much of the cost must I repay?",FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,931.4
Vector,"After working here for three years, how much paid vacation do I receive each year?",HR-LEA-001_Annual_Leave_Policy.md,1,0,493.4
Vector,How early should I request vacation if I plan to be away for more than ten consecutive days?,HR-LEA-001_Annual_Leave_Policy.md,1,0,985.9
Vector,What's the maximum amount of unused vacation I can carry into the next year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,1151.9
Vector,When is the final deadline to use any vacation carried over from last year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,651.8
Vector,How many separate sick leave occurrences lead to a formal attendance review?,HR-LEA-002_Sick_Leave_Policy.md,1,0,1012.7
Vector,At what point do I need to provide HR with a doctor's note for sick leave?,HR-LEA-002_Sick_Leave_Policy.md,1,0,2118.4
Vector,"After returning from being sick for five days, what must I do within the next two days?",HR-LEA-002_Sick_Leave_Policy.md,1,0,1988.1
Vector,"While on parental leave, how many Keeping in Touch days am I allowed to work?",HR-LEA-003_Parental_Leave_Policy.md,1,0,562.3
Vector,Does the company provide any leave for employees undergoing IVF treatment?,HR-LEA-003_Parental_Leave_Policy.md,1,0,2943.3
Vector,How much leave can someone take after adopting a child?,HR-LEA-003_Parental_Leave_Policy.md,1,0,712.0
Vector,How long should hiring managers keep interview evaluation notes?,HR-POL-002_Recruitment_and_Selection.pdf,1,0,1230.6
Vector,"Before hiring externally, how long must a vacancy be advertised to current employees?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,2267.2
Vector,"After someone verbally accepts a job offer, how quickly must the written contract be issued?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,1184.9
Vector,"At the beginning of the performance cycle, how many SMART objectives should each employee set?",HR-POL-003_Performance_Management.pdf,1,0,507.0
Vector,What happens if an employee receives a 'Needs Improvement' rating in two consecutive reviews?,HR-POL-003_Performance_Management.pdf,1,0,573.5
Vector,Where should shared passwords or account credentials be stored securely?,IT-PROC-001_Password_Management.docx,1,0,920.0
Vector,Who approves requests to install software that isn't normally permitted?,IT-PROC-002_Software_Installation.docx,1,0,572.2
Vector,How long does the security team have to evaluate software before giving approval?,IT-PROC-002_Software_Installation.docx,1,0,1169.4
Vector,What are the stages the company follows when responding to a cybersecurity incident?,IT-PROC-003_Incident_Response.docx,1,0,511.0
Vector,"For a Priority 1 incident, how quickly must the root cause investigation be completed?",IT-PROC-003_Incident_Response.docx,1,0,868.8
Vector,"Even after a vendor contract ends, how long must confidential information continue to be protected?",VEN-CON-001_CloudHosting_MSA.pdf,1,0,735.5
Hybrid,"If I'm traveling for work, how much can I spend on dinner each day?",FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,1419.2
Hybrid,Can I book business class on an international flight that's longer than six hours?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,868.6
Hybrid,What's the deadline for submitting my travel reimbursement after a trip?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,613.6
Hybrid,Can I use my credit card statement instead of an itemized receipt for reimbursement?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,1694.6
Hybrid,"Does the company help pay for desks, chairs, or monitors when working from home?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,809.3
Hybrid,How much does the company reimburse each month for home internet while working remotely?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,587.5
Hybrid,"If I prefer working from a coworking space, how many days each month are covered?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,1692.2
Hybrid,How much funding is available each year for professional development courses?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,692.2
Hybrid,Is there a reward for earning an expert-level professional certification?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,400.4
Hybrid,"If I resign within six months after company-funded training, how much of the cost must I repay?",FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,885.1
Hybrid,"After working here for three years, how much paid vacation do I receive each year?",HR-LEA-001_Annual_Leave_Policy.md,1,0,738.7
Hybrid,How early should I request vacation if I plan to be away for more than ten consecutive days?,HR-LEA-001_Annual_Leave_Policy.md,1,0,449.8
Hybrid,What's the maximum amount of unused vacation I can carry into the next year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,797.1
Hybrid,When is the final deadline to use any vacation carried over from last year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,1341.8
Hybrid,How many separate sick leave occurrences lead to a formal attendance review?,HR-LEA-002_Sick_Leave_Policy.md,1,0,557.9
Hybrid,At what point do I need to provide HR with a doctor's note for sick leave?,HR-LEA-002_Sick_Leave_Policy.md,1,0,1009.8
Hybrid,"After returning from being sick for five days, what must I do within the next two days?",HR-LEA-002_Sick_Leave_Policy.md,1,0,467.2
Hybrid,"While on parental leave, how many Keeping in Touch days am I allowed to work?",HR-LEA-003_Parental_Leave_Policy.md,1,0,1092.3
Hybrid,Does the company provide any leave for employees undergoing IVF treatment?,HR-LEA-003_Parental_Leave_Policy.md,1,0,1307.4
Hybrid,How much leave can someone take after adopting a child?,HR-LEA-003_Parental_Leave_Policy.md,1,0,6387.0
Hybrid,How long should hiring managers keep interview evaluation notes?,HR-POL-002_Recruitment_and_Selection.pdf,1,0,2501.0
Hybrid,"Before hiring externally, how long must a vacancy be advertised to current employees?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,1517.8
Hybrid,"After someone verbally accepts a job offer, how quickly must the written contract be issued?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,2056.8
Hybrid,"At the beginning of the performance cycle, how many SMART objectives should each employee set?",HR-POL-003_Performance_Management.pdf,1,0,1293.4
Hybrid,What happens if an employee receives a 'Needs Improvement' rating in two consecutive reviews?,HR-POL-003_Performance_Management.pdf,1,0,1213.5
Hybrid,Where should shared passwords or account credentials be stored securely?,IT-PROC-001_Password_Management.docx,1,0,1104.5
Hybrid,Who approves requests to install software that isn't normally permitted?,IT-PROC-002_Software_Installation.docx,1,0,510.7
Hybrid,How long does the security team have to evaluate software before giving approval?,IT-PROC-002_Software_Installation.docx,1,0,1112.5
Hybrid,What are the stages the company follows when responding to a cybersecurity incident?,IT-PROC-003_Incident_Response.docx,1,0,663.7
Hybrid,"For a Priority 1 incident, how quickly must the root cause investigation be completed?",IT-PROC-003_Incident_Response.docx,1,0,797.6
Hybrid,"Even after a vendor contract ends, how long must confidential information continue to be protected?",VEN-CON-001_CloudHosting_MSA.pdf,1,0,1142.2
Hybrid+Semantic,"If I'm traveling for work, how much can I spend on dinner each day?",FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,1408.3
Hybrid+Semantic,Can I book business class on an international flight that's longer than six hours?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,1171.9
Hybrid+Semantic,What's the deadline for submitting my travel reimbursement after a trip?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,512.8
Hybrid+Semantic,Can I use my credit card statement instead of an itemized receipt for reimbursement?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,794.1
Hybrid+Semantic,"Does the company help pay for desks, chairs, or monitors when working from home?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,545.6
Hybrid+Semantic,How much does the company reimburse each month for home internet while working remotely?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,533.6
Hybrid+Semantic,"If I prefer working from a coworking space, how many days each month are covered?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,480.3
Hybrid+Semantic,How much funding is available each year for professional development courses?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,552.2
Hybrid+Semantic,Is there a reward for earning an expert-level professional certification?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,564.1
Hybrid+Semantic,"If I resign within six months after company-funded training, how much of the cost must I repay?",FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,382.3
Hybrid+Semantic,"After working here for three years, how much paid vacation do I receive each year?",HR-LEA-001_Annual_Leave_Policy.md,1,0,521.8
Hybrid+Semantic,How early should I request vacation if I plan to be away for more than ten consecutive days?,HR-LEA-001_Annual_Leave_Policy.md,1,0,530.4
Hybrid+Semantic,What's the maximum amount of unused vacation I can carry into the next year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,505.5
Hybrid+Semantic,When is the final deadline to use any vacation carried over from last year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,525.7
Hybrid+Semantic,How many separate sick leave occurrences lead to a formal attendance review?,HR-LEA-002_Sick_Leave_Policy.md,1,0,506.5
Hybrid+Semantic,At what point do I need to provide HR with a doctor's note for sick leave?,HR-LEA-002_Sick_Leave_Policy.md,1,0,574.8
Hybrid+Semantic,"After returning from being sick for five days, what must I do within the next two days?",HR-LEA-002_Sick_Leave_Policy.md,1,0,634.0
Hybrid+Semantic,"While on parental leave, how many Keeping in Touch days am I allowed to work?",HR-LEA-003_Parental_Leave_Policy.md,1,0,629.1
Hybrid+Semantic,Does the company provide any leave for employees undergoing IVF treatment?,HR-LEA-003_Parental_Leave_Policy.md,1,0,1691.6
Hybrid+Semantic,How much leave can someone take after adopting a child?,HR-LEA-003_Parental_Leave_Policy.md,1,0,1265.3
Hybrid+Semantic,How long should hiring managers keep interview evaluation notes?,HR-POL-002_Recruitment_and_Selection.pdf,1,0,672.9
Hybrid+Semantic,"Before hiring externally, how long must a vacancy be advertised to current employees?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,377.2
Hybrid+Semantic,"After someone verbally accepts a job offer, how quickly must the written contract be issued?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,1198.2
Hybrid+Semantic,"At the beginning of the performance cycle, how many SMART objectives should each employee set?",HR-POL-003_Performance_Management.pdf,1,0,1158.1
Hybrid+Semantic,What happens if an employee receives a 'Needs Improvement' rating in two consecutive reviews?,HR-POL-003_Performance_Management.pdf,1,0,743.0
Hybrid+Semantic,Where should shared passwords or account credentials be stored securely?,IT-PROC-001_Password_Management.docx,1,0,1175.6
Hybrid+Semantic,Who approves requests to install software that isn't normally permitted?,IT-PROC-002_Software_Installation.docx,1,0,1327.3
Hybrid+Semantic,How long does the security team have to evaluate software before giving approval?,IT-PROC-002_Software_Installation.docx,1,0,1372.4
Hybrid+Semantic,What are the stages the company follows when responding to a cybersecurity incident?,IT-PROC-003_Incident_Response.docx,1,0,558.4
Hybrid+Semantic,"For a Priority 1 incident, how quickly must the root cause investigation be completed?",IT-PROC-003_Incident_Response.docx,1,0,1046.1
Hybrid+Semantic,"Even after a vendor contract ends, how long must confidential information continue to be protected?",VEN-CON-001_CloudHosting_MSA.pdf,1,0,578.6
